Year,Total outflow s,Soil moisture,Lakes and reservoirs,Groundw ater,Snow,Ice,Total change in storage,Precipitation,Total inflow s,Evapotranspiration,hydroelectricity,generation
1995,678886,-620,-289,4220,1316,1473,6100,684986,684986,120354,182049,-182049
1996,699810,1838,264,-1220,643,60,1584,701394,701394,125088,184698,-184698
1997,599087,1301,-1676,-2480,-3986,1214,-5627,593461,593461,122180,159743,-159743
1998,604060,-2085,1714,-830,1709,-1304,-796,603264,603264,121257,159216,-159216
1999,652460,1131,-763,-1810,-1953,-3462,-6857,645603,645603,120588,164673,-164673
2000,617852,-610,2357,820,1869,-3082,1354,619207,619207,119478,151867,-151867
2001,548553,41,-3338,290,508,767,-1732,546821,546821,115980,159661,-159661
2002,611692,-909,2124,2750,1369,-2396,2938,614630,614630,121657,140308,-140308
2003,575707,845,-761,-4480,-3158,950,-6604,569103,569103,118545,160850,-160850
2004,658931,-1593,1957,3060,1272,807,5503,664433,664433,122628,167244,-167244
2005,569681,1907,-3336,-3130,-269,1035,-3793,565889,565889,119220,170315,-170315
2006,587655,-462,91,-440,1438,-1209,-581,587074,587074,117729,143725,-143725
2007,571952,-199,-335,-2200,-47,-327,-3109,568843,568843,116081,154558,-154558
2008,555605,-1087,-1184,520,398,-2617,-3970,551635,551635,112415,143342,-143342
2009,647479,1780,2836,2770,-1688,-2163,3536,651015,651015,118374,155088,-155088
2010,611354,-1514,81,2890,945,-245,2156,613510,613510,115625,156329,-156329
